Date,Births,Hidden_State,State_Label
12/10/1959,43,1,Trung bình
12/11/1959,34,0,Thấp
12/12/1959,39,1,Trung bình
12/13/1959,35,0,Thấp
12/14/1959,52,1,Trung bình
12/15/1959,47,0,Thấp
12/16/1959,52,1,Trung bình
12/17/1959,39,0,Thấp
12/18/1959,40,1,Trung bình
12/19/1959,42,0,Thấp
12/20/1959,42,1,Trung bình
12/21/1959,53,0,Thấp
12/22/1959,39,1,Trung bình
12/23/1959,40,0,Thấp
12/24/1959,38,1,Trung bình
12/25/1959,44,0,Thấp
12/26/1959,34,1,Trung bình
12/27/1959,37,0,Thấp
12/28/1959,52,1,Trung bình
12/29/1959,48,0,Thấp
12/30/1959,55,1,Trung bình
12/31/1959,50,0,Thấp
